VL (20 V),IL (10 A),VPD(V),FS (V)
14.97,5.98,3.23,20
14.46,5.86,2.76,20
13.96,5.75,2.35,20
13.47,5.64,2.02,20
12.99,5.52,1.71,20
12.49,5.41,1.44,20
12,5.29,1.2,20
11.55,5.19,1.058,2
10.98,5.03,0.828,2
10.44,4.9,0.648,2
9.97,4.78,0.523,2
9.53,4.65,0.419,2
9.01,4.51,0.315,2
8.46,4.36,0.233,2
8,4.23,0.191,2
7.5,4.08,134.9e-3,0.2
7.05,3.95,102.1e-3,0.2
6.54,3.79,73.7e-3,0.2
5.98,3.61,53e-3,0.2
5.53,3.47,42.3e-3,0.2
4.99,3.28,32.3e-3,0.2
4.51,3.12,26.6e-3,0.2
3.98,2.93,22.1e-3,0.2
